filepath,label,original_split,label_id,split
/content/DATA_SET_A_O_L-1/test/freshoranges/rotated_by_75_Screen-Shot-2018-06-13-at-12-00-02-AM_png.rf.6dcc75daf1cc19e2cec03648b294f190.jpg,freshoranges,test,2,train
/content/DATA_SET_A_O_L-1/test/rottenoranges/rotated_by_15_Screen-Shot-2018-06-12-at-11-36-31-PM_png.rf.c7b06cd5953538301e9955d87ae628db.jpg,rottenoranges,test,5,train
/content/DATA_SET_A_O_L-1/valid/freshapples/rotated_by_30_Screen-Shot-2018-06-08-at-5-01-34-PM_png.rf.4147a12335da66a1b32a8ac17e9f734f.jpg,freshapples,validation,0,train
/content/DATA_SET_A_O_L-1/valid/freshoranges/Screen-Shot-2018-06-13-at-12-15-13-AM_png.rf.666e6487caca94c3e6e17b1da1cd1e2f.jpg,freshoranges,validation,2,train
/content/DATA_SET_A_O_L-1/train/rottenoranges/saltandpepper_Screen-Shot-2018-06-12-at-11-37-00-PM_png.rf.cb24fff091b5dec6c721f86c1d5e1ae8.jpg,rottenoranges,train,5,train
/content/DATA_SET_A_O_L-1/train/freshapples/rotated_by_45_Screen-Shot-2018-06-08-at-5-33-27-PM_png.rf.c4f9d10de0e8a80f9484dcd9f79cd76f.jpg,freshapples,train,0,train
/content/DATA_SET_A_O_L-1/train/freshlemons/good_quality_113_jpg.rf.4d89828fbd9595919645ffeaee1dd88b.jpg,freshlemons,train,1,train
/content/DATA_SET_A_O_L-1/train/freshapples/rotated_by_45_Screen-Shot-2018-06-08-at-5-06-47-PM_png.rf.73a3a3543cdb31d2296e8e77a84a03f3.jpg,freshapples,train,0,train
/content/DATA_SET_A_O_L-1/valid/rottenlemons/bad_quality_564_jpg.rf.b5bb2c84ab136a7167183cd5001f34d3.jpg,rottenlemons,validation,4,train
/content/DATA_SET_A_O_L-1/train/rottenapples/rotated_by_30_Screen-Shot-2018-06-08-at-2-39-26-PM_png.rf.524c146b8dca365e48742d75010bbd3a.jpg,rottenapples,train,3,train
/content/DATA_SET_A_O_L-1/train/freshoranges/rotated_by_30_Screen-Shot-2018-06-12-at-11-59-28-PM_png.rf.5000fcb1a3621acc785d12dbac7cedc6.jpg,freshoranges,train,2,train
/content/DATA_SET_A_O_L-1/train/rottenlemons/bad_quality_769_jpg.rf.824d210f963e50fc29205ddda28bc360.jpg,rottenlemons,train,4,train
/content/DATA_SET_A_O_L-1/train/rottenapples/translation_Screen-Shot-2018-06-07-at-2-19-46-PM_png.rf.5a5831311de483c62934fe8595c43733.jpg,rottenapples,train,3,train
/content/DATA_SET_A_O_L-1/valid/rottenoranges/rotated_by_45_Screen-Shot-2018-06-12-at-11-20-13-PM_png.rf.e500331b7b1fd0bca0cdd7c387e3a728.jpg,rottenoranges,validation,5,train
/content/DATA_SET_A_O_L-1/test/rottenapples/rotated_by_45_Screen-Shot-2018-06-07-at-2-16-54-PM_png.rf.1b8e18a2bcdf91813c39aebc8fc77665.jpg,rottenapples,test,3,train
/content/DATA_SET_A_O_L-1/valid/rottenapples/Screen-Shot-2018-06-08-at-2-35-03-PM_png.rf.f20b4cf43f715f90c9111345830986b4.jpg,rottenapples,validation,3,train
/content/DATA_SET_A_O_L-1/train/rottenapples/translation_Screen-Shot-2018-06-07-at-2-59-23-PM_png.rf.6694e4d85c0bc56b2e25ec334f27bf35.jpg,rottenapples,train,3,train
